Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
ele993,hotplate hob ring element,2,,,,,ele993,,5 February 2015,1.60,0.32,1.92,3.84,6
flt2178,universal grease paper,2,,,,,flt2178,,5 February 2015,1.89,0.38,2.27,4.54,6
cbn9034,carbon brush servis,2,,,,,cbn9034,,5 February 2015,8.84,1.77,10.61,21.22,6
ele045,spider hotplate element,1,,,,,ele045,,5 February 2015,1.03,0.21,1.24,1.24,6
ele992,hotplate hob ring element,4,,,,,ele992,,5 February 2015,1.64,0.33,1.97,7.88,6
ele046,spider hotplate element,1,,,,,ele046,,5 February 2015,1.93,0.39,2.32,2.32,6
ele9147,radiant boiling plate,3,,,,,ele9147,,5 February 2015,2.62,0.52,3.14,9.42,6
fvlae4m260155,fan oven element,1,,,,,fvlae4m260155,,5 February 2015,14.27,2.85,17.12,17.12,18
hptc001499168,element oven 2500,1,,,,,hptc001499168,,5 February 2015,5.00,1.00,6.00,6,18
quacar99,carbon brushes + holder,1,,,,,quacar99,,5 February 2015,4.53,0.91,5.44,5.44,18
quafwh19,fill hose cold 1.5m,1,,,,,quafwh19,,5 February 2015,0.75,0.15,0.9,0.9,18
quahtr99,wash heater & sensor,1,,,,,quahtr99,,5 February 2015,8.99,1.80,10.79,10.79,18
quaint54,door lock indesit dw,1,,,,,quaint54,,5 February 2015,2.69,0.54,3.23,3.23,18
89226,15mm isolating valve,1,,,,,89226,,8 February 2015,2.40,0.48,2.88,2.88,24
dn80h,danfoss nozzle 0.65,2,,,,,dn80h,,9 February 2015,3.70,0.74,4.44,8.88,32
dn80h,danfoss nozzle 0.85,1,,,,,dn80h,,9 February 2015,3.70,0.74,4.44,4.44,32
brd01,braided flexi oil line,3,,,,,brd01,,9 February 2015,2.95,0.59,3.54,10.62,32
bfpcoil,danfoss bfp coil set,1,,,,,bfpcoil,,9 February 2015,12.50,2.50,15.00,15,32
dn80eh,danfoss nozzle 0.75,3,,,,,dn80eh,,9 February 2015,3.70,0.74,4.44,13.32,32
f-gsk,soft fibre burner gasket,2,,,,,f-gsk,,9 February 2015,2.80,0.56,3.36,6.72,32
b-gsk,hard fibre burner gasket,2,,,,,b-gsk,,9 February 2015,4.00,0.80,4.80,9.6,32
d-gsk,doughnut burner seal,2,,,,,d-gsk,,9 February 2015,2.80,0.56,3.36,6.72,32
e-gsk,square burner gasket,1,,,,,e-gsk,,9 February 2015,3.90,0.78,4.68,4.68,32
nip1,1/4 x 1/4 connecting nipple,2,,,,,nip1,,5 March 2015,1.15,0.23,1.38,2.76,32
nip2,3/8 x 3/8 connecting nipple,2,,,,,nip2,,5 March 2015,1.10,0.22,1.32,2.64,32
nip3,nipple3/8 x 1/4,2,,,,,nip3,,5 March 2015,0.85,0.17,1.02,2.04,32
nip4,1/4 x 1/4 fxc connecting nipple,3,,,,,nip4,,5 March 2015,0.75,0.15,0.9,2.7,32
nip5,1/8 x1/8 connecting nipple,2,,,,,nip5,,5 March 2015,1.30,0.26,1.56,3.12,32
bu3814,3/8 x1/4 bush brass,3,,,,,bu3814,,5 March 2015,0.15,0.03,0.18,0.54,32
bu1238,1/2 x 3/8 bush brass,3,,,,,bu1238,,5 March 2015,0.18,0.04,0.22,0.66,32
bu112,1 x 1/2 bush brass,2,,,,,bu112,,5 March 2015,0.65,0.13,0.78,1.56,32
fit2,10mmx1/4 compression fitting,1,,,,,fit2,,5 March 2015,0.46,0.09,0.55,0.55,32
fit5,10 x 1/4 elbow compression,1,,,,,fit5,,5 March 2015,0.47,0.09,0.56,0.56,32
fit1,10mm x 3/8 compression,1,,,,,fit1,,5 March 2015,0.46,0.09,0.55,0.55,32
fit4,10mmx3/8 elbow compression,1,,,,,fit4,,5 March 2015,0.58,0.12,0.7,0.7,32
fit12,10mm compression straight,1,,,,,fit12,,5 March 2015,0.58,0.12,0.7,0.7,32
fit13,10mm compression elbow,1,,,,,fit13,,5 March 2015,0.65,0.13,0.78,0.78,32
fit15,10mm x 3/8 f1 straight,1,,,,,fit15,,5 March 2015,0.39,0.08,0.47,0.47,32
fit0,10mm x1/4 f1 straight,1,,,,,fit0,,5 March 2015,0.39,0.08,0.47,0.47,32
14w,1/4 nipple washer,18,,,,,14w,,5 March 2015,0.20,0.04,0.24,4.32,32
flas3,10mm x 3/8 st flared fitting,1,,,,,flas3,,5 March 2015,1.10,0.22,1.32,1.32,32
flar4,10x 1/4 st flared fitting,1,,,,,flar4,,5 March 2015,1.10,0.22,1.32,1.32,32
olive-10,10mm olives,1,,,,,olive-10,,5 March 2015,0.80,0.16,0.96,0.96,32
olive-15,15mm olive,1,,,,,olive-15,,5 March 2015,0.90,0.18,1.08,1.08,32
olive-22,22mm olive,1,,,,,olive-22,,5 March 2015,1.20,0.24,1.44,1.44,32
cse-22,22mm compression stop end,1,,,,,cse-22,,5 March 2015,0.66,0.13,0.79,0.79,32
cse-15,15mm compression stop end,1,,,,,cse-15,,5 March 2015,0.39,0.08,0.47,0.47,32
cse-10,10mm compression stop end,1,,,,,cse-10,,5 March 2015,0.39,0.08,0.47,0.47,32
sr-amid,3 port acutator,1,,,,,sr-amid,,5 March 2015,25.50,5.10,30.60,30.6,32
0.7560'es,danfoss nozzle,1,,,,,0.7560'es,,5 March 2015,3.70,0.74,4.44,4.44,32
0.8560'es,danfoss nozzle,1,,,,,0.8560'es,,5 March 2015,3.70,0.74,4.44,4.44,32
0.6080'eh,danfoss nozzle,1,,,,,0.6080'eh,,5 March 2015,3.70,0.74,4.44,4.44,32
0.5080'eh,danfoss nozzle,1,,,,,0.5080'eh,,5 March 2015,3.70,0.74,4.44,4.44,32
0.4580's,danfoss nozzle,1,,,,,0.4580's,,5 March 2015,4.00,0.80,4.80,4.8,32
0.5080'es,danfoss nozzle,1,,,,,0.5080'es,,5 March 2015,3.70,0.74,4.44,4.44,32
0.5580'h,danfoss nozzle,1,,,,,0.5580'h,,5 March 2015,3.70,0.74,4.44,4.44,32
mz40,satronic photocell short 40mm,1,,,,,mz40,,5 March 2015,5.00,1.00,6.00,6,32
bsh00630628,door latch,1,,,,,bsh00630628,,5 March 2015,4.90,0.98,5.88,5.88,18
bekbe2867700100,button housing beko,1,,,,,bekbe2867700100,,5 March 2015,3.07,0.61,3.68,3.68,18
bsh154740,carbon brushes bosch,2,,,,,bsh154740,,5 March 2015,16.47,3.29,19.76,39.52,18
bsh611312,sensor,1,,,,,bsh611312,,5 March 2015,8.68,1.74,10.42,10.42,18
quacs146,twin energy regulator,2,,,,,quacs146,,5 March 2015,6.05,1.21,7.26,14.52,18
quapmp236,pump drain hotpoint,1,,,,,quapmp236,,5 March 2015,8.06,1.61,9.67,9.67,18
quapmp239,pump aeg,1,,,,,quapmp239,,5 March 2015,4.74,0.95,5.69,5.69,18
rb7025,severin robotic vac,1,,,,,rb7025,,6 March 2015,69.94,13.99,83.93,83.93,31
700003-ww,8w e27 50w warm white,5,,,,,700003-ww,,12 March 2015,5.68,1.14,6.82,34.1,39
3600016-rgb-uk,colour changing 5w,1,,,,,3600016-rgb-uk,,12 March 2015,11.99,2.40,14.39,14.39,39
700008-ww-eu,3w e14 r39,2,,,,,700008-ww-eu,,12 March 2015,4.99,1.00,5.99,11.98,39
200052-ww-eu,4w gu10 led,4,,,,,200052-ww-eu,,12 March 2015,3.79,0.76,4.55,18.2,39
ele9327,fan oven element 2 turn,3,,,,,ele9327,,23 March 2015,4.99,1.00,5.99,17.97,6
wpl482000011533,bracket pulley,2,,,,,wpl482000011533,,24 March 2015,2.80,0.56,3.36,6.72,6
wpl481953228227,ring triangular drum,9,,,,,wpl481953228227,,24 March 2015,2.55,0.51,3.06,27.54,6
wpl481952888108,pulley wheel,1,,,,,wpl481952888108,,24 March 2015,10.39,2.08,12.47,12.47,6
wpl481935818142,belt drive,1,,,,,wpl481935818142,,24 March 2015,12.35,2.47,14.82,14.82,6
be14105,fan oven heater element,2,,,,,be14105,,25 March 2015,5.67,1.13,6.8,13.6,34
wpl484000000955,wpro terra bianca,2,,,,,wpl484000000955,,26 March 2015,6.20,1.24,7.44,14.88,6
0.4560'es,danfoss nozzle,2,,,,,0.4560'es,,30 March 2015,4.45,0.89,5.34,10.68,32
sr-2port,2 port actuator,1,,,,,sr-2port,,30 March 2015,23.50,4.70,28.20,28.2,32
0.5580'eh,danfoss nozzle,1,,,,,0.5580'eh,,30 March 2015,3.95,0.79,4.74,4.74,32
0.6080'es,danfoss nozzle,2,,,,,0.6080'es,,30 March 2015,3.95,0.79,4.74,9.48,32
0.5580'es,danfoss nozzle,1,,,,,0.5580'es,,30 March 2015,3.95,0.79,4.74,4.74,32
0.6580'es,danfoss nozzle,1,,,,,0.6580'es,,30 March 2015,3.95,0.79,4.74,4.74,32
0.5080'es,danfoss nozzle,1,,,,,0.5080'es,,30 March 2015,3.95,0.79,4.74,4.74,32
0.5060'h,danfoss nozzle,1,,,,,0.5060'h,,30 March 2015,3.95,0.79,4.74,4.74,32
0.6060'h,danfoss nozzle,1,,,,,0.6060'h,,30 March 2015,3.95,0.79,4.74,4.74,32
0.4060'h,danfoss nozzle,1,,,,,0.4060'h,,30 March 2015,3.95,0.79,4.74,4.74,32
y30,19mm rope seal 1800mm,1,,,,,y30,,30 March 2015,10.00,2.00,12.00,12,32
ys15,25mm rope seal 1400mm,1,,,,,ys15,,30 March 2015,10.00,2.00,12.00,12,32
y15,twisted glass yarn 6mm,1,,,,,y15,,30 March 2015,2.00,0.40,2.40,2.4,32
y23,braided glass yarn 12mm,1,,,,,y23,,30 March 2015,5.00,1.00,6.00,6,32
y21,braided glass yarn 10mm,1,,,,,y21,,30 March 2015,3.50,0.70,4.20,4.2,32
bek263100004,oven switch,3,,,,,bek263100004,,31 March 2015,2.40,0.48,2.88,8.64,34
bek210110017,oven door hinge,3,,,,,bek210110017,,31 March 2015,6.70,1.34,8.04,24.12,34
can97916670,carbon brush + holder,3,,,,,can97916670,,31 March 2015,3.95,0.79,4.74,14.22,34
brg9305,bearing drum rear,5,,,,,brg9305,,7 April 2015,2.87,0.57,3.44,17.2,6
merc00095551,drive pin,1,,,,,merc00095551,,7 April 2015,4.37,0.87,5.24,5.24,6
stv082632420,spring hinge,2,,,,,stv082632420,,7 April 2015,4.12,0.82,4.94,9.88,6
ele9327,fan oven element 2 turn,2,,,,,ele9327,,7 April 2015,4.99,1.00,5.99,11.98,6
bek2840940200,pump & filter assembly,1,,,,,bek2840940200,,7 April 2015,14.99,3.00,17.99,17.99,6
stv082632327,brake rope door hinge,4,,,,,stv082632327,,7 April 2015,3.22,0.64,3.86,15.44,6
0.8580'es,danfoss nozzle,2,,,,,0.8580'es,,7 April 2015,3.95,0.79,4.74,9.48,40
0.4580'es,danfoss nozzle,2,,,,,0.4580'es,,7 April 2015,4.25,0.85,5.1,10.2,40
0.7580'h,danfoss nozzle,2,,,,,0.7580'h,,7 April 2015,3.95,0.79,4.74,9.48,40
0.6080'h,danfoss nozzle,1,,,,,0.6080'h,,7 April 2015,3.95,0.79,4.74,4.74,40
0.4560'es,danfoss nozzle,4,,,,,0.4560'es,,7 April 2015,4.45,0.89,5.34,21.36,40
0.5560'es,danfoss nozzle,2,,,,,0.5560'es,,7 April 2015,3.95,0.79,4.74,9.48,40
0.6560'es,danfoss nozzle,1,,,,,0.6560'es,,7 April 2015,3.95,0.79,4.74,4.74,40
0.3580's,danfoss nozzle,1,,,,,0.3580's,,7 April 2015,4.75,0.95,5.7,5.7,40
0.3560'h,danfoss nozzle,2,,,,,0.3560'h,,7 April 2015,4.75,0.95,5.7,11.4,40
0.5580'eh,danfoss nozzle,2,,,,,0.5580'eh,,7 April 2015,3.95,0.79,4.74,9.48,40
0.6580'eh,danfoss nozzle,2,,,,,0.6580'eh,,7 April 2015,3.95,0.79,4.74,9.48,40
0.8580'eh,danfoss nozzle,2,,,,,0.8580'eh,,7 April 2015,3.95,0.79,4.74,9.48,40
0.4080'h,danfoss nozzle,2,,,,,0.4080'h,,7 April 2015,4.25,0.85,5.1,10.2,40
q32205,rinse jet,8,,,,,q32205,,8 April 2015,1.03,0.21,1.24,9.92,21
blt2200,belt neopropene round t/t,1,,,,,blt2200,,9 April 2015,3.40,0.68,4.08,4.08,6
ele4017,element top oven dual,1,,,,,ele4017,,21 April 2015,11.95,2.39,14.34,14.34,6
wpl481281719419,carbon brush,3,,,,,wpl481281719419,,21 April 2015,8.14,1.63,9.77,29.31,6
bsh629580,door interlock,1,,,,,bsh629580,,21 April 2015,8.57,1.71,10.28,10.28,6
mdi673001600021,locking nut,3,,,,,mdi673001600021,,21 April 2015,2.25,0.45,2.7,8.1,6
bsh611312,sensor,1,,,,,bsh611312,,21 April 2015,8.83,1.77,10.6,10.6,6
whl9288,compatible upper basket,1,,,,,whl9288,,21 April 2015,4.69,0.94,5.63,5.63,6
whl9290,compatible upper basket,2,,,,,whl9290,,21 April 2015,3.55,0.71,4.26,8.52,6
panaxw5027sro,pulley,3,,,,,panaxw5027sro,,21 April 2015,1.69,0.34,2.03,6.09,6
a1236,sight,5,,,,,a1236,,24 April 2015,3.00,0.60,3.60,18,37
a2204,aga ry sight  glass gskt,5,,,,,a2204,,24 April 2015,1.53,0.31,1.84,9.2,37
cons02,cerwick-r,1,,,,,cons02,,24 April 2015,16.25,3.25,19.5,19.5,37
cera wick set,d10146,4,,,,,cera wick set,,24 April 2015,2.70,0.54,3.24,12.96,37
fireangel10yr,fire01,2,,,,,fireangel10yr,,24 April 2015,11.95,2.39,14.34,28.68,37
rope fxg adhesive,reg-y25,3,,,,,rope fxg adhesive,,24 April 2015,2.95,0.59,3.54,10.62,37
ry rope seal 2mtr no4,r5627,2,,,,,ry rope seal 2mtr no4,,24 April 2015,6.01,1.20,7.21,14.42,37
hse685,hose drain,4,,,,,hse685,,1 May 2015,0.95,0.19,1.14,4.56,6
pmp991,drain pump + housing,1,,,,,pmp991,,1 May 2015,7.36,1.47,8.83,8.83,6
ext0010,13a gang trailing,10,,,,,ext0010,,1 May 2015,0.81,0.16,0.97,9.7,6
,various bulbs,1,,,,,,,4 May 2015,84.99,16.15,101.14,101.14,39
blt072,belt drum polyvee,1,,,,,blt072,,6 May 2015,1.99,0.40,2.39,2.39,6
lr130,servisol label remover,1,,,,,lr130,,6 May 2015,4.31,0.86,5.17,5.17,6
ele992,hotplate hob ring element,1,,,,,ele992,,6 May 2015,1.64,0.33,1.97,1.97,6
bek263100016,oven thermometer,1,,,,,bek263100016,,13 May 2015,10.63,2.13,12.76,12.76,6
bsh611473,bearing ,1,,,,,bsh611473,,26 May 2015,6.62,1.32,7.94,7.94,6
bsh611472,clips bearing,1,,,,,bsh611472,,26 May 2015,4.83,0.97,5.8,5.8,6
bsh6114745,lower d/w basket,2,,,,,bsh6114745,,26 May 2015,2.72,0.54,3.26,6.52,6
fvln003169,screw n1752,5,,,,,fvln003169,,26 May 2015,1.13,0.23,1.36,6.8,6
grj503169,drum paddle lifter,2,,,,,grj503169,,26 May 2015,7.98,1.60,9.58,19.16,6
fvln003253,m5 x 12 pan hd pozi t/t,5,,,,,fvln003253,,26 May 2015,1.13,0.23,1.36,6.8,6
fvl9303350100,top grill element,1,,,,,fvl9303350100,,26 May 2015,25.43,5.09,30.52,30.52,6
fvln003479,m5 x 12 socket button,5,,,,,fvln003479,,26 May 2015,1.13,0.23,1.36,6.8,6
fvlae4m260155,fan oven element,2,,,,,fvlae4m260155,,26 May 2015,14.24,2.85,17.09,34.18,6
quaele101,element fan oven stoves,3,,,,,quaele101,,26 May 2015,3.80,0.76,4.56,13.68,18
quaele2110ego,element fan oven ego,5,,,,,quaele2110ego,,26 May 2015,4.77,0.95,5.72,28.6,18
wpl481236248004,carbon brushes in holoder,4,,,,,wpl481236248004,,26 May 2015,4.40,0.88,5.28,21.12,18
b6504,3uf capacitor,2,,,,,b6504,,26 May 2015,8.15,1.63,9.78,19.56,32
cm1,capacitor-mic w/o,1,,,,,cm1,,26 May 2015,28.00,5.60,33.60,33.6,32
0.4580's,danfoss nozzle,1,,,,,0.4580's,,26 May 2015,4.50,0.90,5.40,5.4,32
0.6080's,danfoss nozzle,1,,,,,0.6080's,,26 May 2015,3.85,0.77,4.62,4.62,32
mzlead,satronic mz photocell lead,1,,,,,mzlead,,26 May 2015,1.90,0.38,2.28,2.28,32
mz80,satronic mz770s photocell long 80mm,1,,,,,mz80,,26 May 2015,7.50,1.50,9.00,9,32
mz40,satronic photocell mz770s short 40mm,1,,,,,mz40,,26 May 2015,5.00,1.00,6.00,6,32
tf832,satronic tf832 control box,1,,,,,tf832,,26 May 2015,19.00,3.80,22.80,22.8,32
0.6060's,danfoss nozzle,2,,,,,0.6060's,,27 May 2015,3.85,0.77,4.62,9.24,32
0.6560's,danfoss nozzle,1,,,,,0.6560's,,27 May 2015,3.85,0.77,4.62,4.62,32
0.7560's,danfoss nozzle,1,,,,,0.7560's,,27 May 2015,3.85,0.77,4.62,4.62,32
0.8560's,danfoss nozzle,1,,,,,0.8560's,,27 May 2015,3.85,0.77,4.62,4.62,32
0.5060's,danfoss nozzle,1,,,,,0.5060's,,27 May 2015,3.85,0.77,4.62,4.62,32
5core,heat resistant white cable 1 mtr,10,,,,,5core,,27 May 2015,0.80,0.16,0.96,9.6,32
80647,golf led,1,,,,,80647,,1 June 2015,3.62,0.72,4.34,4.34,31
q910265,relay finder 2 pole,3,,,,,q910265,,4 June 2015,10.12,2.02,12.14,36.42,21
s8099,g4 led warm white,3,,,,,s8099,,5 June 2015,2.60,0.52,3.12,9.36,31
quacar73,carbon brush + holder,3,,,,,quacar73,,8 June 2015,4.50,0.90,5.40,16.2,18
bsh611820,non return valve,2,,,,,bsh611820,,8 June 2015,8.05,1.61,9.66,19.32,34
95355,robus electronic transformer,2,,,,,95355,,11 June 2015,5.22,1.04,6.26,12.52,30
32319,osram led star fridge lamp 100l,2,,,,,32319,,11 June 2015,6.33,1.27,7.6,15.2,30
91002,13a 2 gang switched plug socket,2,,,,,91002,,11 June 2015,3.50,0.70,4.20,8.4,30
29220,flexi waste straight coupling 30-38,3,,,,,29220,,11 June 2015,6.06,1.21,7.27,21.81,30
81383,flexi waste straight coupling 38-45,3,,,,,81383,,11 June 2015,6.06,1.21,7.27,21.81,30
89445,dual safety thermometer,2,,,,,89445,,11 June 2015,8.22,1.64,9.86,19.72,30
32319,osram led fridge lamp,2,,,,,32319,,12 June 2015,6.32,1.26,7.58,15.16,24
91002,bg 13a 2g dp outboard rocker,2,,,,,91002,,12 June 2015,4.20,0.84,5.04,10.08,24
29220,straight coupling 30-38mm,3,,,,,29220,,12 June 2015,6.06,1.21,7.27,21.81,24
81383,straight coupling 38-45mm,3,,,,,81383,,12 June 2015,6.06,1.21,7.27,21.81,24
89445,"dual safety thermostat 18""",2,,,,,89445,,12 June 2015,8.22,1.64,9.86,19.72,24
95355,robus 20-60w transformer,2,,,,,95355,,12 June 2015,6.26,1.25,7.51,15.02,24
cbn9191,carbon brush + holder,3,,,,,cbn9191,,17 June 2015,4.50,0.90,5.40,16.2,6
cap244,capacitor 7uf,3,,,,,cap244,,17 June 2015,1.17,0.23,1.4,4.2,6
bsh171598,sealing seal dw,2,,,,,bsh171598,,17 June 2015,3.30,0.66,3.96,7.92,6
cbn9175,carbon brush set t/f bek,3,,,,,cbn9175,,17 June 2015,5.50,1.10,6.60,19.8,6
cbn9210,carbon brush motor hoover,3,,,,,cbn9210,,17 June 2015,3.50,0.70,4.20,12.6,6
ele9312,element nut + bolt set,1,,,,,ele9312,,17 June 2015,1.40,0.28,1.68,1.68,6
700002-ww,6w e14 r50 led bulb warm white,8,,,,,700002-ww,,26 June 2015,4.21,0.84,5.05,40.4,39
600017-ww,3w g4 led disc 40 w halogen,1,,,,,600017-ww,,26 June 2015,6.60,1.32,7.92,7.92,39
5000062,24w led driver adaptor,1,,,,,5000062,,26 June 2015,8.99,1.80,10.79,10.79,39
bsh611320,valve non return,2,,,,,bsh611320,,26 June 2015,8.05,1.61,9.66,19.32,34
nummcnvm1ch,hepaflo filter dust bags,5,,,,,nummcnvm1ch,,29 June 2015,3.18,0.64,3.82,19.1,6
hse5149,hose drain extendable,1,,,,,hse5149,,29 June 2015,1.11,0.22,1.33,1.33,6
hse5148,hose drain extendable,1,,,,,hse5148,,29 June 2015,1.35,0.27,1.62,1.62,6
bsh644221,door handle,2,,,,,bsh644221,,29 June 2015,2.41,0.48,2.89,5.78,6
merc00054869,drain hose 90 deg end,1,,,,,merc00054869,,29 June 2015,2.75,0.55,3.3,3.3,6
ele4123,energy regulator simmer,1,,,,,ele4123,,29 June 2015,7.09,1.42,8.51,8.51,6
50081,fan oven element beko,2,,,,,50081,,9 July 2015,8.84,1.77,10.61,21.22,31
5019,grill element brandt,2,,,,,5019,,9 July 2015,9.95,1.99,11.94,23.88,31
8949,door gasket bosch,1,,,,,8949,,9 July 2015,4.70,0.94,5.64,5.64,31
s8100,led 2w warm white bulbs,6,,,,,s8100,,9 July 2015,2.97,0.59,3.56,21.36,31
quaele2084,element fan oven 26515w,2,,,,,quaele2084,,10 July 2015,7.26,1.45,8.71,17.42,18
wpl482000011533,bracket pulley,5,,,,,wpl482000011533,,23 July 2015,2.80,0.56,3.36,16.8,6
wpl481953228227,ring triangular drum,3,,,,,wpl481953228227,,23 July 2015,2.69,0.54,3.23,9.69,6
etrc411ses,eterna led candle lamp,5,,,,,etrc411ses,,23 July 2015,3.14,0.63,3.77,18.85,6
wpl481935818142,belt drive,1,,,,,wpl481935818142,,23 July 2015,12.35,2.47,14.82,14.82,6
wele402wcs,wellco 4 gang 2m ext lea,3,,,,,wele402wcs,,23 July 2015,4.81,0.96,5.77,17.31,6
unvcnd05e143k,5w led candle lamp,2,,,,,unvcnd05e143k,,23 July 2015,3.95,0.79,4.74,9.48,6
oven/grill element 2350w,ele9318,1,,,,,oven/grill element 2350w,,23 July 2015,1.00,0.20,1.20,1.2,6
,40mm sink wa,1,,,,,,,25 July 2015,4.55,0.91,5.46,5.46,41
,40mm uni com,1,,,,,,,25 July 2015,1.37,0.27,1.64,1.64,41
can41020376,fan oven heater element,3,,,,,can41020376,,3 August 2015,9.80,1.96,11.76,35.28,34
wpl482000011533,bracket pulley,3,,,,,wpl482000011533,,5 August 2015,2.80,0.56,3.36,10.08,6
blt207,multi rib belt,1,,,,,blt207,,5 August 2015,2.63,0.53,3.16,3.16,6
n088zkt63a,fuse 6.3 amp 20mm,30,,,,,n088zkt63a,,5 August 2015,0.13,0.03,0.16,4.8,6
q307334,rocker switch impulse black,1,,,,,q307334,,6 August 2015,1.03,0.21,1.24,1.24,21
q307523,rocker switch impulse yellow,1,,,,,q307523,,6 August 2015,10.05,2.01,12.06,12.06,21
q902314,cutlery inset square,3,,,,,q902314,,6 August 2015,1.11,0.22,1.33,3.99,21
q307371,rocker push button ignition,1,,,,,q307371,,19 August 2015,2.50,0.50,3.00,3,21
q307374,rocker push button ,5,,,,,q307374,,19 August 2015,1.81,0.36,2.17,10.85,21
